k_topics,log_likelihood,perplexity,coherence_cv,n_docs,vocab_size
2,-2082083.2149982927,1158.7107720289446,0.478892444744738,5871,4581
3,-2066886.0620918688,1100.5532232706594,0.5156091915639816,5871,4581
4,-2056792.906200918,1063.5503432924806,0.5872355172512839,5871,4581
5,-2048677.0535049858,1034.7009214395885,0.5716534364376545,5871,4581
6,-2042356.6556255077,1012.7769179174376,0.587586901056857,5871,4581
7,-2040010.845853804,1004.7585769091288,0.5830948956210047,5871,4581
8,-2038867.1520316217,1000.8723059819223,0.5926247571270619,5871,4581
9,-2039276.227162545,1002.2606132918648,0.5900927749880206,5871,4581
10,-2037036.2340456517,994.6821169972263,0.5847735530233824,5871,4581
11,-2036504.7234212789,992.8923023206925,0.5811319160243634,5871,4581
12,-2036048.8269591616,991.3596777222161,0.5758914679118418,5871,4581
13,-2034944.0681020117,987.6555244486422,0.5769284600246125,5871,4581
14,-2033931.9433971033,984.2741143267472,0.5867852527460877,5871,4581
15,-2034407.5676829552,985.861684475595,0.5969964677339736,5871,4581
16,-2037213.8920637572,995.2810836982216,0.5789106669695758,5871,4581
17,-2036205.3615634711,991.8856460853721,0.5804971447955275,5871,4581
18,-2036861.9138683202,994.0947540576068,0.5807277770685029,5871,4581
19,-2035447.2608259565,989.3409632154579,0.5930627924907634,5871,4581
20,-2036123.3131238283,991.6099221987913,0.5805218478572715,5871,4581
21,-2037533.376840903,996.3591211421954,0.5842738184310576,5871,4581
22,-2038115.6685827505,998.3269525109955,0.5793545589550269,5871,4581
23,-2037810.38595204,997.2947780364984,0.5814671286340142,5871,4581
24,-2038814.7328813463,1000.6945464453487,0.5789390325470904,5871,4581
